iter	Logloss
0	0.6834837791
1	0.6772331886
2	0.6727670787
3	0.67047269
4	0.6670445413
5	0.6636176195
6	0.6624715703
7	0.6615809974
8	0.6609367993
9	0.6587123218
10	0.6577843874
11	0.6568616459
12	0.6549238896
13	0.6535870334
14	0.6522628354
15	0.6513096845
16	0.6487212155
17	0.6479974118
18	0.6464534567
19	0.6457541957
20	0.6449037977
21	0.6442036198
22	0.6429785796
23	0.6415975304
24	0.6395184885
25	0.6379710887
26	0.6359607268
27	0.6342914375
28	0.6324133635
29	0.6311122863
30	0.6298409871
31	0.6284867742
32	0.6270743518
33	0.6260641738
34	0.6242534666
35	0.6224337922
36	0.6198818419
37	0.6177850654
38	0.6157354156
39	0.6146531043
40	0.6134732748
41	0.6122861278
42	0.6105479501
43	0.6095987793
44	0.6087656827
45	0.6070621752
46	0.6049690304
47	0.6039445046
48	0.6029163264
49	0.6014293554
50	0.5993453158
51	0.5977972366
52	0.5962817139
53	0.5955006442
54	0.594593677
55	0.5925487293
56	0.5913877917
57	0.5906428809
58	0.5890493042
59	0.5881369761
60	0.5868916404
61	0.5861455435
62	0.5852630825
63	0.5845641121
64	0.5827825656
65	0.5806966968
66	0.5800723749
67	0.5790497418
68	0.5778400417
69	0.5761896201
70	0.5752664736
71	0.5738473419
72	0.5729156518
73	0.5699787557
74	0.5694461865
75	0.5679902841
76	0.5673182273
77	0.5653593287
78	0.5645283842
79	0.5632591866
80	0.5619064941
81	0.5612777208
82	0.5601405056
83	0.5593398629
84	0.5580260396
85	0.5569501777
86	0.5554989129
87	0.5543005938
88	0.553627461
89	0.5519474425
90	0.5514000399
91	0.5505685404
92	0.5495153621
93	0.5483402535
94	0.546810485
95	0.5462887827
96	0.545803723
97	0.544799818
98	0.5441716273
99	0.5431813184
