iter	Passed	Remaining
0	13	1362
1	26	1288
2	41	1341
3	55	1324
4	68	1296
5	79	1247
6	94	1259
7	107	1235
8	122	1238
9	136	1227
10	150	1216
11	160	1180
12	171	1148
13	183	1128
14	195	1109
15	206	1082
16	219	1071
17	232	1058
18	244	1040
19	259	1039
20	274	1032
21	288	1023
22	302	1014
23	315	999
24	327	982
25	339	967
26	352	954
27	365	939
28	379	928
29	390	911
30	401	894
31	412	877
32	422	857
33	434	843
34	446	829
35	459	817
36	473	805
37	486	793
38	498	779
39	511	767
40	525	756
41	539	744
42	552	732
43	563	717
44	574	702
45	586	689
46	600	676
47	612	663
48	623	649
49	633	633
50	643	618
51	653	603
52	662	587
53	672	572
54	681	557
55	692	543
56	701	529
57	711	515
58	721	501
59	731	487
60	741	473
61	751	460
62	760	446
63	769	432
64	779	419
65	789	406
66	798	393
67	807	379
68	816	367
69	825	353
70	835	341
71	845	328
72	855	316
73	866	304
74	876	292
75	887	280
76	895	267
77	904	255
78	912	242
79	922	230
80	932	218
81	942	206
82	954	195
83	965	183
84	975	172
85	984	160
86	994	148
87	1004	137
88	1013	125
89	1023	113
90	1032	102
91	1042	90
92	1051	79
93	1060	67
94	1069	56
95	1079	44
96	1087	33
97	1095	22
98	1102	11
99	1110	0
8	1201	12
99	1212	0
	111
94	1766	92
95	1777	74
96	1791	55
97	1803	36
98	1814	18
99	1828	0
