iter	Passed	Remaining
0	8	8672
1	17	8515
2	23	7801
3	29	7411
4	36	7170
5	41	6906
6	47	6739
7	54	6703
8	60	6679
9	66	6597
10	72	6493
11	78	6442
12	84	6385
13	90	6355
14	96	6305
15	102	6275
16	107	6232
17	113	6183
18	119	6164
19	125	6138
20	130	6104
21	137	6103
22	143	6079
23	149	6068
24	155	6048
25	161	6044
26	167	6035
27	173	6024
28	179	6013
29	186	6015
30	193	6041
31	199	6034
32	205	6025
33	211	6018
34	217	6009
35	223	5995
36	229	5982
37	236	5975
38	241	5963
39	248	5954
40	254	5943
41	260	5931
42	265	5915
43	272	5920
44	279	5939
45	287	5970
46	295	6000
47	301	5985
48	307	5961
49	312	5944
50	318	5933
51	324	5918
52	329	5893
53	335	5880
54	341	5868
55	347	5854
56	352	5838
57	358	5828
58	364	5815
59	370	5804
60	376	5798
61	382	5791
62	388	5782
63	394	5769
64	400	5762
65	406	5755
66	412	5746
67	419	5743
68	425	5737
69	431	5727
70	437	5723
71	443	5720
72	450	5715
73	457	5726
74	463	5717
75	470	5716
76	476	5712
77	482	5705
78	489	5706
79	494	5692
80	501	5692
81	508	5697
82	516	5703
83	523	5708
84	529	5702
85	536	5704
86	543	5700
87	549	5691
88	555	5687
89	561	5679
90	568	5675
91	575	5681
92	583	5685
93	589	5684
94	596	5678
95	603	5678
96	609	5670
97	615	5664
98	621	5658
99	627	5647
100	633	5642
101	640	5639
102	645	5622
103	651	5616
104	659	5620
105	667	5633
106	674	5625
107	680	5617
108	686	5608
109	692	5602
110	698	5594
111	705	5593
112	711	5582
113	717	5573
114	722	5563
115	728	5553
116	734	5545
117	740	5536
118	746	5529
119	753	5528
120	760	5522
121	766	5518
122	773	5515
123	781	5518
124	788	5519
125	795	5519
126	802	5517
127	809	5514
128	815	5505
129	822	5504
130	829	5500
131	835	5493
132	841	5486
133	848	5482
134	855	5479
135	861	5472
136	868	5470
137	874	5459
138	880	5453
139	886	5446
140	892	5438
141	898	5431
142	905	5424
143	911	5416
144	917	5408
145	922	5398
146	929	5395
147	935	5386
148	941	5378
149	947	5369
150	953	5361
151	959	5354
152	966	5348
153	972	5341
154	978	5334
155	985	5330
156	990	5321
157	997	5316
158	1003	5310
159	1010	5302
160	1016	5296
161	1022	5288
162	1028	5281
163	1034	5275
164	1040	5267
165	1047	5263
166	1054	5258
167	1060	5251
168	1067	5248
169	1073	5239
170	1079	5232
171	1085	5227
172	1091	5218
173	1098	5213
174	1104	5207
175	1110	5200
176	1116	5193
177	1122	5182
178	1128	5176
179	1134	5169
180	1140	5162
181	1147	5155
182	1153	5149
183	1159	5142
184	1165	5136
185	1172	5129
186	1178	5122
187	1184	5116
188	1190	5108
189	1196	5100
190	1205	5105
191	1211	5097
192	1218	5093
193	1224	5086
194	1230	5080
195	1236	5072
196	1242	5065
197	1248	5057
198	1254	5050
199	1260	5043
200	1266	5035
201	1272	5027
202	1278	5021
203	1283	5009
204	1288	4997
205	1297	5000
206	1305	5002
207	1316	5012
208	1324	5012
209	1330	5003
